codigo;nombre;DEBE
1004;TERRAZAS NORTE (ORANGE GROUP);
1010;TITANIUM;
866;TITO CHOQUE;
30;TIVOLI (BONANOVA);
646;TOBIA;
806;TOBOROCHI;
468;TORRE 777;
1012;TORRE ALEXANDER;
355;TORRE C&C;
356;TORRE C&C II;
357;TORRE CAROLINA;
42;TORRE CARVALLO;
1016;TORRE CAUSAR;
358;TORRE CENTRO;
422;TORRE CODES;
466;TORRE EL PINO;
737;TORRE EL PINO;
885;TORRE ELY;
917;TORRE EMPORIO;
1008;TORRE EMPRESARIAL COLONIA;
650;TORRE EMPRESARIAL TITANIUM A;
